Age_at_Admission,Gender,Region,Last_Degree,Undergrad_University,Employed,Decision,Cohort,Graduate_Asssitant,GPA1,GPA2,Program
25,M,Asia,BE,AUB,Yes,Conditionally-GPA Probation,FT,0,2.86,3.78,MSBA
29,M,Asia,BBA,LIU,Yes,Conditionally-GPA probation,FT,0,2.82,3.78,MHRM
26,M,Asia,BBA,AUB,Yes,Conditionally-GPA Probation,FT,0,2.92,4,MHRM
31,F,Asia,BS,AUL,Yes,special not working for a degree,PT,0,2.77,3.6,MSBA
27.88571429,F,Asia,BBA,AUB,Yes,special not working for a degree,FT,0,2.82,3.78,MHRM
27,M,Asia,BS,AUB,Yes,Conditionally-GPA Probation,FT,0,2.82,3.93,MHRM
27.88571429,M,Asia,BA,Rafik Hariri University,No,Unconditionally,FT,0,3.54,3.46,MHRM
34,M,Asia,BBA,AUB,Yes,Conditionally-GPA probation,FT,0,3.11,3.63,MHRM
28,M,Asia,BS,Balamand,Yes,Unconditionally,PT,0,3.38,3.8,MSBA
31,M,Asia,BBA,AUB,Yes,Conditionally-GPA Probation,PT,0,2.82,3.2,MSBA
27,F,USA,BBA,AUB,Yes,special not working for a degree,FT,0,2.92,3.93,MHRM
30,M,Asia,BBA,AUB,Yes,Conditionally-GPA Probation,FT,0,2.73,3.7,MHRM
27.88571429,F,Asia,BE,AUB,Yes,Unconditionally,FT,0,3.11,4,MSBA
27.88571429,F,Asia,BBA,Rafik Hariri University,Yes,Unconditionally,FT,0,3.54,4,MHRM
47,F,Asia,BS,AUB,Yes,Unconditionally,PT,0,3.63,3.86,MSBA
28,M,Asia,BBA,AUB,Yes,Conditionally-GPA Probation,FT,1,2.62,3.79,MSBA
27,F,Asia,BBA,AUB,Yes, Unconditionally,FT,0,3.2,4,MHRM
23,M,Asia,BBA,AUB,Yes, Unconditionally,FT,0,3.54,4,MSBA
27.88571429,F,Asia,BBA,NDU,Yes, Unconditionally,PT,0,3.39,4,MSBA
